codigo,producto_excel,categoria_excel,excel_qty,excel_venta,canon_qty,canon_venta,canon_qty_diff,canon_venta_diff,point_qty,point_venta,point_qty_diff,point_venta_diff,canon_producto,point_producto
3462,Piñatero Mini,Pastel Mini,31,5890,31,5890,0,0,31,5890,0,0,Pastel Piñatero - Mini,Piñatero Mini
5346,Pastel Arándano Mediano,Pastel Mediano,3,1440,3,1440,0,0,3,1440,0,0,Pastel de Arándano - Mediano,Pastel Arándano Mediano
5638,Galleta Lotus,Galletas,133,6354,133,6354,0,0,133,6354,0,0,Galleta Lotus,Galleta Lotus
CHCAKEINDROLLCANELA,Cheesecake Roll Canela Individual,Individual,73,9490,73,9490,0,0,73,9490,0,0,Cheesecake Roll Canela Individual,Cheesecake Roll Canela Individual
CHEESELOTUSMED,Cheesecakes Lotus M,Cheesecake,1,650,1,650,0,0,1,650,0,0,Cheesecakes Lotus M,Cheesecakes Lotus M
P3PMINI,Pastel 3 Pecados Mini,Pastel Mini,107,19795,107,19795,0,0,107,19795,0,0,Pastel 3 Pecados - Mini,Pastel 3 Pecados Mini
PCRUNCHMINI,Pastel Crunch Mini,Pastel Mini,52,9620,52,9620,0,0,52,9620,0,0,Pastel Crunch - Mini,Pastel Crunch Mini
SANFRESAR,TOPPING FRESA REBANADA,Rebanada,76,0,0,0,-76,0,76,0,0,0,,TOPPING FRESA REBANADA
SFRESAG,Sabor Fresa Grande Pay,Pay Grande,338,0,126,0,-212,0,338,0,0,0,Sabor Fresa Grande Pay,Sabor Fresa Grande Pay
SFRESAM,Sabor Fresa Mediano Pay,Pay Mediano,330,0,123,0,-207,0,330,0,0,0,Sabor Fresa Mediano Pay,Sabor Fresa Mediano Pay
SFRESAPC,TOPPING FRESA C,Pastel Chico,257,0,0,0,-257,0,257,0,0,0,,TOPPING FRESA C
SFRESAPG,TOPPING FRESA G,Pastel Grande,54,0,0,0,-54,0,54,0,0,0,,TOPPING FRESA G
SFRESAPM,TOPPING FRESA M,Pastel Mediano,519,0,0,0,-519,0,519,0,0,0,,TOPPING FRESA M
SFRESAPMINI,TOPPING FRESA MINI,Pastel Mini,91,0,0,0,-91,0,91,0,0,0,,TOPPING FRESA MINI
SGALLETACAJETAG,Sabor Galleta Cajeta Grande,Pay Grande,4,0,1,0,-3,0,4,0,0,0,Sabor Galleta Cajeta Grande,Sabor Galleta Cajeta Grande
SGALLETACAJETAM,Sabor Galleta Cajeta Mediano,Pay Mediano,1,0,0,0,-1,0,1,0,0,0,,Sabor Galleta Cajeta Mediano
SGUAYABAG,Sabor Guayaba Grande,Pay Grande,24,0,10,0,-14,0,24,0,0,0,Sabor Guayaba Grande,Sabor Guayaba Grande
SGUAYABAM,Sabor Guayaba Mediano,Pay Mediano,28,0,7,0,-21,0,28,0,0,0,Sabor Guayaba Mediano,Sabor Guayaba Mediano
